date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:17	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6538f849-93a554757f450e0;gz%22	https://www.kingmyro.fun/robots.txt		(from )
13:02:17	24874/24874	---M-Z	200	added ('OK')	text/html	etag:%22612a-66079d97-c9575a030c82da25;gz%22	https://www.kingmyro.fun/	D:/Websites/kingmiro/www.kingmyro.fun/index.html	(from )
13:02:17	12654/12654	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2011:02:18%20GMT	https://www.kingmyro.fun/assets/images/favi.png	D:/Websites/kingmiro/www.kingmyro.fun/assets/images/favi.png	(from https://www.kingmyro.fun/)
13:02:18	160403/160403	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	D:/Websites/kingmiro/maxcdn.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	(from https://www.kingmyro.fun/)
13:02:18	22553/22553	---M-Z	200	added ('OK')	text/css	etag:%225819-65b28e32-6f67d621d336ef6d;gz%22	https://www.kingmyro.fun/assets/css/styles.css	D:/Websites/kingmiro/www.kingmyro.fun/assets/css/styles.css	(from https://www.kingmyro.fun/)
13:02:18	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/Websites/kingmiro/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.kingmyro.fun/)
13:02:19	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/Websites/kingmiro/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://www.kingmyro.fun/)
13:02:19	60174/60174	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	D:/Websites/kingmiro/maxcdn.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	(from https://www.kingmyro.fun/)
13:02:19	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	D:/Websites/kingmiro/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://www.kingmyro.fun/)
13:02:19	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	D:/Websites/kingmiro/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://www.kingmyro.fun/)
